62,Computationalcomplexitytheory62.wps,Computational complexity theory,bobbetteleigha77@uams.be
98,Quantumcomputingtheory98.wks,Quantum computing theory,vanessaalfonso71@chelsea.linst.ac.uk
67,Computationalchemistry67.txt,Computational chemistry,kileykarin25@univ-savoie.fr
97,Numbertheory97.doc,Number theory,vernatjader28@ecla.de
2,Quantumcomputingtheory2.wpd,Quantum computing theory,jamiewerra65@ku.edu.af
96,Networking96.odt,Networking,camilesiclari36@mccd.edu
6,Computersecurity6.odt,Computer security,alysbarnard66@kanagawa-u.ac.jp
90,Algorithms90.odt,Algorithms,alleenosbert69@konstfack.se
74,Programminglanguagetheory74.doc,Programming language theory,marybelleignatius29@juba.edu.sd
13,Networking13.wpd,Networking,oonakries60@edgewood.edu
51,Softwareengineering51.docx,Software engineering,sidoneyalroy80@rtu.lv
9,Computationalneuroscience9.pdf,Computational neuroscience,katherinabarny15@ceu.hu
36,Robotics36.pdf,Robotics,quintanamcneil34@phtg.ch
77,Programminglanguagepragmatics77.wks,Programming language pragmatics,kelseycrellen79@dbq.edu
39,Naturallanguageprocessing39.doc,Natural language processing,vilmades74@saitama-med.ac.jp
12,Graphtheory12.doc,Graph theory,trudygarfinkel89@morainepark.edu
23,Programminglanguagepragmatics23.wps,Programming language pragmatics,deeannmarielle73@ucla.edu
89,Datastructures89.wpd,Data structures,corellaabraham26@his.se
33,Imageprocessing33.docx,Image processing,karinclower99@hcc.commnet.edu
59,Networking59.pdf,Networking,celestynasherri2@mangaloreuniversity.ac.in
42,Evolutionarycomputing42.doc,Evolutionary computing,moniquedanziger27@akita-u.ac.jp
78,Computersecurity78.txt,Computer security,cathyleenfoushee9@cmru.ac.th
34,Computerarchitecture34.wpd,Computer architecture,oonakries60@edgewood.edu
80,Computerarchitecture80.wps,Computer architecture,alysbarnard66@kanagawa-u.ac.jp
84,Typetheory84.wks,Type theory,marybelleignatius29@juba.edu.sd
66,Computerprogramming66.wks,Computer programming,inessaalbertson45@usuhs.mil
88,Automatatheory88.txt,Automata theory,lottypharaoh75@racc.edu
82,Imageprocessing82.wps,Image processing,cassondraharper11@oulu.fi
10,Computerarchitecture10.tex,Computer architecture,denycasabonne16@stu.edu
31,Numbertheory31.wpd,Number theory,hildasweyn10@must.edu.my
14,Relationaldatabases14.odt,Relational databases,celeinez95@stu.ru
83,Softcomputing83.odt,Soft computing,karisahaman91@universo.br
47,Artificialintelligence47.docx,Artificial intelligence,kelseycrellen79@dbq.edu
41,Artificialintelligence41.txt,Artificial intelligence,barrymelar38@nui.ie
91,Structuredstorage91.wpd,Structured storage,cassondraharper11@oulu.fi
15,Datamining15.txt,Data mining,theowalczak23@utc.fr
65,Programminglanguagepragmatics65.txt,Programming language pragmatics,bobbetteleigha77@uams.be
100,Automatatheory100.wps,Automata theory,fulviadream92@fudan.edu.cn
54,Computationalscience54.wks,Computational science,virgieguy1@unicartagena.edu.co
27,Mathematicallogic27.wps,Mathematical logic,renejillayne48@covenantuniversity.edu.ng
60,Distributedcomputing60.odt,Distributed computing,malindecantlon3@iet.ru
43,Computationalcomplexitytheory43.odt,Computational complexity theory,marybelleignatius29@juba.edu.sd
70,Typetheory70.doc,Type theory,livwershba8@uapa.ru
46,Artificialintelligence46.odt,Artificial intelligence,barrymelar38@nui.ie
52,Evolutionarycomputing52.pdf,Evolutionary computing,brynnaalitha22@at.edu.pl
21,Computabilitytheory21.docx,Computability theory,candidaswithbart76@wzu.edu.cn
35,Informationvisualization35.docx,Information visualization,zabrinareeves59@davv.ac.in
86,Computervision86.docx,Computer vision,vanniestesha37@hkbu.edu.hk
26,Imageprocessing26.tex,Image processing,denycasabonne16@stu.edu
18,Computationalchemistry18.wks,Computational chemistry,katherinabarny15@ceu.hu
28,Robotics28.docx,Robotics,vanessaalfonso71@chelsea.linst.ac.uk
11,Formalmethods11.txt,Formal methods,adacharmain72@fpcc.edu
22,Automatedreasoning22.odt,Automated reasoning,vanniestesha37@hkbu.edu.hk
93,Cryptography93.wpd,Cryptography,bobbetteleigha77@uams.be
69,Compilertheory69.odt,Compiler theory,moniquedanziger27@akita-u.ac.jp
4,Computabilitytheory4.docx,Computability theory,theowalczak23@utc.fr
87,Computersecurity87.txt,Computer security,hildasweyn10@must.edu.my
24,Evolutionarycomputing24.odt,Evolutionary computing,floryadamis53@edcc.edu
1,Parallelcomputing1.wpd,Parallel computing,kileykarin25@univ-savoie.fr
56,Formalsemantics56.doc,Formal semantics,idelltuppeny17@sgu.edu
58,Gametheory58.rtf,Game theory,opalstrauss5@yuntech.edu.tw
19,Mathematicallogic19.pdf,Mathematical logic,celeinez95@stu.ru
17,Operatingsystems17.wps,Operating systems,karinclower99@hcc.commnet.edu
68,Formalsemantics68.tex,Formal semantics,gladeleanora61@univ-douala.com
72,Mathematicallogic72.rtf,Mathematical logic,marybelleignatius29@juba.edu.sd
44,Bioinformatics44.odt,Bioinformatics,dominijemine14@salvador.edu.ar
32,Computerprogramming32.doc,Computer programming,malabaiss54@ntnu.edu.ng
7,Numericalanalysis7.pdf,Numerical analysis,floryadamis53@edcc.edu
99,Reverseengineering99.pdf,Reverse engineering,rikitrescott41@indiana.edu
64,Formalmethods64.docx,Formal methods,leannapansir88@belmont.edu
95,Typetheory95.wps,Type theory,fernandalilia90@univ-st-etienne.fr
61,Concurrency61.pdf,Concurrency,ranijanene63@bip.lon.ac.uk
16,Parallelcomputing16.wps,Parallel computing,shinaleo24@enameknes.ac.ma
57,Computersecurity57.wps,Computer security,altarinna46@afit.af.mil
